"Periodic Returns"
"Periodicity","Monthly"
"Start","1/1/1926"
"End","12/31/2025"
"FX Conv","None"

"Date","US Consumer Price Index",
"","USD",
"1/31/1926","0.0000000000",
"2/28/1926","0.0000000000",
"3/31/1926","-0.0055865920",
"4/30/1926","0.0056179780",
"5/31/1926","-0.0055865920",
"6/30/1926","-0.0056179780",
"7/31/1926","-0.0112994350",
"8/31/1926","-0.0057142860",
"9/30/1926","0.0057471260",
"10/31/1926","0.0057142860",
"11/30/1926","0.0056818180",
"12/31/1926","0.0000000000",
"1/31/1927","-0.0112994350",
"2/28/1927","-0.0057142860",
"3/31/1927","-0.0057471260",
"4/30/1927","0.0000000000",
"5/31/1927","0.0057803470",
"6/30/1927","0.0114942530",
"7/31/1927","-0.0170454550",
"8/31/1927","-0.0057803470",
"9/30/1927","0.0058139530",
"10/31/1927","0.0057803470",
"11/30/1927","-0.0057471260",
"12/31/1927","0.0000000000",
"1/31/1928","0.0000000000",
"2/29/1928","-0.0115606940",
"3/31/1928","0.0000000000",
"4/30/1928","0.0000000000",
"5/31/1928","0.0058479530",
"6/30/1928","-0.0058139530",
"7/31/1928","0.0000000000",
"8/31/1928","0.0000000000",
"9/30/1928","0.0116959060",
"10/31/1928","-0.0057803470",
"11/30/1928","0.0000000000",
"12/31/1928","-0.0058139530",
"1/31/1929","0.0000000000",
"2/28/1929","0.0000000000",
"3/31/1929","-0.0058479530",
"4/30/1929","-0.0058823530",
"5/31/1929","0.0059171600",
"6/30/1929","0.0058823530",
"7/31/1929","0.0116959060",
"8/31/1929","0.0000000000",
"9/30/1929","0.0000000000",
"10/31/1929","0.0000000000",
"11/30/1929","0.0000000000",
"12/31/1929","-0.0057803470",
"1/31/1930","-0.0058139530",
"2/28/1930","-0.0058479530",
"3/31/1930","-0.0058823530",
"4/30/1930","0.0059171600",
"5/31/1930","-0.0058823530",
"6/30/1930","-0.0059171600",
"7/31/1930","-0.0119047620",
"8/31/1930","-0.0060240960",
"9/30/1930","0.0060606060",
"10/31/1930","-0.0060240960",
"11/30/1930","-0.0060606060",
"12/31/1930","-0.0182926830",
"1/31/1931","-0.0124223600",
"2/28/1931","-0.0125786160",
"3/31/1931","-0.0063694270",
"4/30/1931","-0.0064102560",
"5/31/1931","-0.0129032260",
"6/30/1931","-0.0130718950",
"7/31/1931","0.0000000000",
"8/31/1931","0.0000000000",
"9/30/1931","-0.0066225170",
"10/31/1931","-0.0066666670",
"11/30/1931","-0.0134228190",
"12/31/1931","-0.0068027210",
"1/31/1932","-0.0205479450",
"2/29/1932","-0.0139860140",
"3/31/1932","-0.0070921990",
"4/30/1932","-0.0071428570",
"5/31/1932","-0.0143884890",
"6/30/1932","-0.0072992700",
"7/31/1932","0.0000000000",
"8/31/1932","-0.0073529410",
"9/30/1932","-0.0074074070",
"10/31/1932","-0.0074626870",
"11/30/1932","-0.0075187970",
"12/31/1932","-0.0075757580",
"1/31/1933","-0.0152671760",
"2/28/1933","-0.0155038760",
"3/31/1933","-0.0078740160",
"4/30/1933","0.0000000000",
"5/31/1933","0.0000000000",
"6/30/1933","0.0079365080",
"7/31/1933","0.0314960630",
"8/31/1933","0.0076335880",
"9/30/1933","0.0000000000",
"10/31/1933","0.0000000000",
"11/30/1933","0.0000000000",
"12/31/1933","0.0000000000",
"1/31/1934","0.0000000000",
"2/28/1934","0.0075757580",
"3/31/1934","0.0000000000",
"4/30/1934","0.0000000000",
